iter	Logloss
245	0.2664790489
246	0.2660438043
247	0.2656631465
248	0.2652322204
249	0.2647126138
250	0.2643608158
251	0.2638854606
252	0.2635669573
253	0.2631323757
254	0.2627813867
255	0.2624384329
256	0.2621170264
257	0.2616364643
258	0.2612222142
259	0.2609137092
260	0.2606720189
261	0.260351719
262	0.2598134922
263	0.2594501463
264	0.2591324722
265	0.2589043482
266	0.2585857704
267	0.2582258394
268	0.2577453089
269	0.2572957153
270	0.2569667637
271	0.2565840796
272	0.256239063
273	0.2559337629
274	0.2556441428
275	0.2554827859
276	0.2551382959
277	0.2547827012
278	0.2544945641
279	0.2542348811
280	0.2541953883
281	0.2538621505
282	0.2536534184
283	0.2533295632
284	0.2529854165
285	0.2524976878
286	0.2520355803
287	0.251644727
288	0.2514546726
289	0.2511052413
290	0.250734153
291	0.2501852752
292	0.2499342943
293	0.2497517604
294	0.2494193361
295	0.2492632276
296	0.2489148609
297	0.2487096
298	0.2485070368
299	0.2480639634
300	0.2476318348
301	0.2473818323
302	0.2470153255
303	0.2468758194
304	0.246451856
305	0.2461638797
306	0.2458200325
307	0.2455497185
308	0.2451105022
309	0.2448498541
310	0.2446509142
311	0.2443294625
312	0.2440918442
313	0.2437845827
314	0.2434078208
315	0.2431049703
316	0.2427153124
317	0.2423928289
318	0.2421734582
319	0.2419251226
320	0.2417462077
321	0.2414219805
322	0.2411642067
323	0.2407486813
324	0.2403221707
325	0.2400265467
326	0.2396506902
327	0.239290341
328	0.239005604
329	0.2387567588
330	0.2384549686
331	0.2382086793
332	0.2378483032
333	0.2375290641
334	0.2374383662
335	0.2371615048
336	0.2368677916
337	0.2365830817
338	0.2362637995
339	0.2358861472
340	0.2354498926
341	0.2351512253
342	0.2350185807
343	0.2347854632
344	0.2344851828
345	0.2341028947
346	0.233809409
347	0.2336150321
348	0.2333995518
349	0.2331559516
350	0.2328899909
351	0.2325697158
352	0.232400839
353	0.2322446854
354	0.2321521184
355	0.2319728669
356	0.231796867
357	0.2315382113
358	0.2313811739
359	0.2311435952
360	0.2307704711
361	0.2304321054
362	0.2301821739
363	0.2300019846
364	0.2298409219
365	0.2294892492
366	0.2293265431
367	0.2290005417
368	0.2287063505
369	0.2285607769
370	0.2283425387
371	0.2281427137
372	0.2278548984
373	0.2276859632
374	0.227517177
375	0.2272581859
376	0.2269961368
377	0.2268725824
378	0.2265249878
379	0.2263585435
380	0.2260012848
381	0.2257416521
382	0.2256054719
383	0.2254396158
384	0.225143093
385	0.2247944537
386	0.2245244506
387	0.224127729
388	0.223683541
389	0.2235720149
390	0.2233163347
391	0.2231285872
392	0.2227858861
393	0.2225407199
394	0.2223809353
395	0.22216823
396	0.2219176707
397	0.2217337702
398	0.2214060505
399	0.2212983083
400	0.2210118859
401	0.2208171271
402	0.2206735369
403	0.2203954392
404	0.2201317186
405	0.2198555266
406	0.2196515078
407	0.2195406355
408	0.2193666936
409	0.2191023762
410	0.2188782615
411	0.2186891628
412	0.2185021777
413	0.2182281612
414	0.2180888553
415	0.2178579351
416	0.2177107422
417	0.2175354737
418	0.2173700114
419	0.217055691
420	0.2168308135
421	0.216639795
422	0.2164249078
423	0.2161242286
424	0.2157549914
425	0.2155108633
426	0.2153598165
427	0.2152815694
428	0.2150598406
429	0.2148148858
430	0.2145702093
431	0.2142686783
432	0.2141154162
433	0.2138659796
434	0.2137557523
435	0.2134700185
436	0.2132414408
437	0.213073088
438	0.2128486769
439	0.2126230499
440	0.2124810589
441	0.2121653658
442	0.2120253116
443	0.2118535191
444	0.2118380269
445	0.2116971478
446	0.2114207467
447	0.2111352891
448	0.2110225217
449	0.2108646666
450	0.2106351185
451	0.2104711146
452	0.2102356786
453	0.2100303191
454	0.2098023875
455	0.2095993867
456	0.2093039792
457	0.2090986353
458	0.2089499461
459	0.2087444276
460	0.2084955547
461	0.2082326277
462	0.2081479069
463	0.2079653852
464	0.2078759871
465	0.2078087252
466	0.2075739149
467	0.2072458971
468	0.2070137154
469	0.2067832509
470	0.2066584839
471	0.2063946886
472	0.2061708527
473	0.2060188443
474	0.2058585534
475	0.2055646478
476	0.2052844496
477	0.2051115272
478	0.2048220172
479	0.204457
480	0.2041360538
481	0.2038831906
482	0.203714548
483	0.2035336344
484	0.2032256928
485	0.2030989428
486	0.2029972406
487	0.2028190467
488	0.202788675
489	0.2025718488
490	0.2024133819
491	0.2022721217
492	0.2019618347
493	0.2017523804
494	0.2016260426
495	0.2013557718
496	0.2012294639
497	0.2011145586
498	0.2009261726
499	0.2006540825
500	0.2004379842
501	0.2003174643
502	0.2000799332
503	0.1999099047
504	0.199899793
505	0.1997154352
506	0.1993679703
507	0.1992314232
508	0.1990252562
509	0.198646711
510	0.1984972326
511	0.1983546682
512	0.198086817
513	0.1978921497
514	0.1976968147
515	0.1975345655
516	0.1973746981
517	0.197220357
518	0.1970832644
519	0.1968953043
520	0.1966162922
521	0.1964674867
522	0.1963620114
523	0.1961657271
524	0.1959314801
525	0.1956650123
526	0.1954752474
527	0.1953884834
528	0.1952074476
529	0.1949022455
530	0.1947927464
531	0.1946201736
532	0.1942227011
533	0.1940301482
534	0.1939682782
535	0.1937451227
536	0.1935690968
537	0.1934267144
538	0.1932969066
539	0.1930068861
540	0.1928524989
541	0.1927539283
542	0.1925836318
543	0.1924210188
544	0.1922752776
545	0.1921205456
546	0.191963106
547	0.1918913115
548	0.1916451864
549	0.191277632
550	0.1911859828
551	0.1909666034
552	0.1907780317
553	0.1906706897
554	0.190464203
555	0.1902959349
556	0.1901276303
557	0.1899614469
558	0.1897519825
559	0.1896398751
560	0.1894688541
561	0.1891976002
562	0.1890129327
563	0.1889882852
564	0.1888252464
565	0.1886597311
566	0.1884708695
567	0.1882817428
568	0.1881209794
569	0.187936016
570	0.1876932482
571	0.1875756786
572	0.1874286813
573	0.1872544368
574	0.1872041693
575	0.1870401887
576	0.1869600447
577	0.18675904
578	0.1865794103
579	0.1863505314
580	0.1861867382
581	0.1860422726
582	0.1859157482
583	0.1857048426
584	0.185623121
585	0.1854844777
586	0.1852680998
587	0.1851659342
588	0.1850618461
589	0.1849164433
590	0.1847625891
591	0.1845018692
592	0.184351133
593	0.1842623837
594	0.1841342792
595	0.1840708883
596	0.1838469363
597	0.1836848764
598	0.1835432424
599	0.1834738906
600	0.1833153767
601	0.1830939089
602	0.1828828563
603	0.1827584117
604	0.1825224598
605	0.1823626506
606	0.1822437374
607	0.1820674121
608	0.1819050868
609	0.1817498672
610	0.1815099269
611	0.1813036802
612	0.1812006709
613	0.1810405941
614	0.1809825547
615	0.1808624944
616	0.1807426946
617	0.1805752938
618	0.1804169027
619	0.1803132036
620	0.1801666016
621	0.1798927991
622	0.1798190457
623	0.1797475916
624	0.1796538747
625	0.1795475824
626	0.1793453381
627	0.1792591367
628	0.1790991601
629	0.1788627977
630	0.1787116333
631	0.1785509806
632	0.1784551412
633	0.1783516829
634	0.1781547138
635	0.177835045
636	0.1776199685
637	0.177426533
638	0.1773572363
639	0.1772729588
640	0.1771665198
641	0.176880645
642	0.1766816277
643	0.1765263959
644	0.1764739552
645	0.1763631701
646	0.1761816625
647	0.1759449642
648	0.1757577764
649	0.1755161742
650	0.1753937423
651	0.1752319709
652	0.175071174
653	0.1749268031
654	0.1747839316
655	0.1745597667
656	0.1744494709
657	0.1743565753
658	0.1742410395
659	0.1740713915
660	0.1738623117
661	0.1736475588
662	0.1735248649
663	0.1734117852
664	0.1732884966
665	0.1731173691
666	0.1729583242
667	0.1728283659
668	0.1726196945
669	0.1725143813
670	0.1722935559
671	0.1721194856
672	0.1720140487
673	0.1719515224
674	0.1716246069
675	0.1715236733
676	0.171442176
677	0.1712848787
678	0.171113644
679	0.1708773739
680	0.1707031036
681	0.1705191413
682	0.1703806912
683	0.1701834443
684	0.1699799566
685	0.1698610483
686	0.1696009185
687	0.169523839
688	0.1693923969
689	0.1692918885
690	0.1691643965
691	0.1690805948
692	0.1689027652
693	0.1686603565
694	0.1685246824
695	0.16845037
696	0.1683113687
697	0.1682270177
698	0.1679114381
699	0.1677284473
700	0.167632207
701	0.167528364
702	0.1673467765
703	0.167253702
704	0.1670642644
705	0.1669438787
706	0.1668318873
707	0.1666423934
708	0.1664522497
709	0.1663237857
710	0.1661722222
711	0.1659436843
712	0.1657380533
713	0.1656489221
714	0.1654434765
715	0.1653292704
716	0.1651984083
717	0.1650590981
718	0.1648941574
719	0.1647561498
720	0.1646021525
721	0.1645353966
722	0.164380135
723	0.16424802
724	0.1640394383
725	0.1639263558
726	0.1637895407
727	0.1635776529
728	0.1633717447
729	0.163267886
730	0.1631939983
731	0.1630670792
732	0.1629860852
733	0.1628723521
734	0.1627766659
735	0.1626623649
736	0.1625328614
737	0.1623927312
738	0.1622815772
739	0.1621886649
740	0.1620025857
741	0.1618491853
742	0.161819074
743	0.1617631584
744	0.1615456583
745	0.1614356685
746	0.1611771575
747	0.1610526883
748	0.1609570829
749	0.1607845096
750	0.1607110208
751	0.1605663435
752	0.1604413059
753	0.1602788276
754	0.1601041799
755	0.1600148072
756	0.1598930305
757	0.1598515651
758	0.1597514948
759	0.1595617544
760	0.1594502195
761	0.1593380759
762	0.1592840703
763	0.1591777509
764	0.1590306411
765	0.1588572107
766	0.1585665478
767	0.1584239531
768	0.1583137528
769	0.1581488602
770	0.1580357892
771	0.1579203483
772	0.1578011183
773	0.1576100943
774	0.1575546066
775	0.1573861435
776	0.1573324938
777	0.1572549798
778	0.1571244797
779	0.1570178788
780	0.1568930108
781	0.1567315509
782	0.1565949865
783	0.1564960974
784	0.1563657816
785	0.1561839728
786	0.1560670155
787	0.1559305815
788	0.1556909019
789	0.1555186112
790	0.1553592833
791	0.15523995
792	0.1550078067
793	0.1547444996
794	0.1546591228
795	0.1545590536
796	0.1544120761
797	0.1543033013
798	0.1542142233
799	0.1540629312
800	0.1539628037
801	0.1538420293
802	0.1537623483
803	0.153657842
804	0.153496124
805	0.1532689591
806	0.1531257564
807	0.1530169681
808	0.1528499974
809	0.1527521771
810	0.1526159039
811	0.1525505785
812	0.1524381475
813	0.1522476439
814	0.1521088489
815	0.1520128293
816	0.151860159
817	0.151737323
818	0.1516165456
819	0.1514503249
820	0.1513335937
821	0.1511991938
822	0.151106917
823	0.1509858051
824	0.150881241
825	0.1507422846
826	0.150596144
827	0.1504863825
828	0.1503526544
829	0.1502658403
830	0.1502259834
831	0.1501440672
832	0.1499416958
833	0.1498657447
834	0.1497892857
835	0.1497016444
836	0.1495766979
837	0.1494230845
838	0.1493230789
839	0.1492376989
840	0.1491363615
841	0.1489649369
842	0.148856916
843	0.1486933056
844	0.1485582498
845	0.1484156515
846	0.1483647874
847	0.148245175
848	0.148180101
849	0.1479421082
850	0.1478684109
851	0.1477124972
852	0.1476190826
853	0.1475486339
854	0.1474463698
855	0.1473072037
856	0.147218868
857	0.1470851864
858	0.1469415855
859	0.1467758886
860	0.146620303
861	0.1464830722
862	0.1463751394
863	0.1461909331
864	0.1461769741
865	0.1460339982
866	0.1459333136
867	0.1458874041
868	0.1457586148
869	0.1456272438
870	0.1455415428
871	0.1454364985
872	0.1453396847
873	0.1452114939
874	0.1450623418
875	0.1449999254
876	0.1447916561
877	0.1446567685
878	0.1445513123
879	0.1443524691
880	0.1442128689
881	0.1439423759
882	0.1439183379
883	0.1437392624
884	0.1436178839
885	0.1434897318
886	0.1434161829
887	0.1433472706
888	0.143197418
889	0.1430897909
890	0.1429380505
891	0.1427583211
892	0.1426605354
893	0.1425383803
894	0.1424616525
895	0.1423243529
896	0.1422942062
897	0.1421491451
898	0.1419937924
899	0.1419120271
900	0.1417887552
901	0.1416563912
902	0.1415162626
903	0.1414084822
904	0.1412431939
905	0.1411665418
906	0.1410326561
907	0.140927037
908	0.1408553547
909	0.140662392
910	0.1405502069
911	0.1403834969
912	0.1402975023
913	0.1402226032
914	0.1400655678
915	0.1399596396
916	0.1397628423
917	0.1396615271
918	0.1394948532
919	0.1393412462
920	0.1392244667
921	0.1391687647
922	0.1390862083
923	0.1390393938
924	0.138955534
925	0.1388031661
926	0.1387294681
927	0.1386396741
928	0.1384759229
929	0.1384242649
930	0.138332765
931	0.1381772427
932	0.1380758944
933	0.1380018198
934	0.1379250068
935	0.1377824253
936	0.1377321521
937	0.1377041066
938	0.1376043096
939	0.1374178964
940	0.1373514278
941	0.1372914392
942	0.1371636804
943	0.1370092109
944	0.1368954912
945	0.1368163736
946	0.1366271513
947	0.1365125257
948	0.1364613447
949	0.1363972025
950	0.1362728874
951	0.1361907353
952	0.1360932259
953	0.1360723309
954	0.1359229375
955	0.135880355
956	0.1357825994
957	0.1356530422
958	0.1356345962
959	0.1355593773
960	0.1353993683
961	0.1352812088
962	0.1351751517
963	0.1351294081
964	0.1350537598
965	0.1349673675
966	0.134831824
967	0.1347656814
968	0.1346768608
969	0.1345040268
970	0.1342976629
971	0.1342450011
972	0.1341381412
973	0.133900842
974	0.1337569389
975	0.1336776267
976	0.1336462449
977	0.1336038794
978	0.1335527249
979	0.1334689982
980	0.1334045094
981	0.1333746396
982	0.1333408742
983	0.1332544435
984	0.1331909123
985	0.1331049126
986	0.1330458833
987	0.1329971666
988	0.1328905617
989	0.1327408852
990	0.1326307901
991	0.1324421337
992	0.1322790952
993	0.1321830459
994	0.1320819799
995	0.1319913164
996	0.131913485
997	0.1317812704
998	0.1317205238
999	0.131644671
